Icmeler Beach	Asia	Turkey	Mugla	Marmaris	NULL	NULL	Aegean Sea 	36.806649, 28.233148	4.8	4	7	6	2	10	4	6	5	2	0	1	5	10	0	10
Side East Beach	Asia	Turkey	Antalya	Manavgat	NULL	NULL	Mediterranean Sea 	36.765239, 31.396704	4.9	7	7	4	6	8	5	7	10	1	0	0	0	9	0	10
Side West Beach	Asia	Turkey	Antalya	Manavgat	NULL	NULL	Mediterranean Sea 	36.778907, 31.388482	4.3	6	7	4	0	9	3	6	10	0	0	0	0	10	0	10
Marmaris Beach	Asia	Turkey	Mugla	Marmaris	NULL	NULL	Aegean Sea 	36.847318, 28.260502	4.1	2	5	5	1	10	3	5	5	2	0	1	5	8	0	10
South Beach	Europe	Bulgaria	Varna	St. Konstantin and Helena	NULL	NULL	Black Sea	43.223063, 28.008393	3.8	7	5.8	3.2	1	7.4	3.2	6.5	6.7	1	0	0	0.9	4.6	0	8.8
Ao Nang Beach	Asia	Thailand	Krabi	Krabi District	Ao Nang	NULL	Andaman Sea	8.031433, 98.821432	4	6	4	2.5	1	8	3	6	9	1	0	0	3	7	0	9.5
Pai Plong Beach	Asia	Thailand	Krabi	Krabi District	Ao Nang	NULL	Andaman Sea	8.023607, 98.828682	5.1	7.5	8	8.5	7.5	4	4	7	9	1	0	0	7	8	0	5
Railay Beach West	Asia	Thailand	Krabi	Krabi District	Railay Peninsula	NULL	Andaman Sea	8.027556, 98.825686	5.5	9	6	8	7	7	5	9	9	1	0	0	7.5	9	0	5
Ton Sai Beach	Asia	Thailand	Krabi	Krabi District	Railay Peninsula	NULL	Andaman Sea	8.017931, 98.832744	4.4	9	5	8.5	6	4	5	4	4	1	0	0	7	9	0	3
Phra Nang Beach	Asia	Thailand	Krabi	Krabi District	Railay Peninsula	NULL	Andaman Sea	8.006092, 98.837198	5.1	9	8	10	3	3.5	5	9	9	2	0	1	8	9	0	0
Klong Dao Beach North	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.640730771977687, 99.02755272283684	4.9	8	6	4	5	8	3	7	10	2	0	0	2	9	0	9
Klong Dao Beach South	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.63094776807902, 99.03201591863763	3.8	7	3	3	6	8	3	3	6	2	0	0	1	6	0	9
Long Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.611235, 99.031302	4.6	8	5	2.5	6	8	3	7	8	2	0	1	1	8	0	9
Relax Bay Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.592958, 99.032004	4.4	8	4	4	6	7.5	3	7	8	2.5	0	1	1	5	0	9
Klong Khong Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.574984, 99.032792	3.8	8	4	2.5	7	8	3	3	1	3	0	1	1	6	0	9
Klong Nin Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.539867, 99.047919	4.4	8	4	2	6	7.5	3	7	9	2.5	0	1	1	6.5	0	9
Kantiang Bay Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.497351, 99.073274	5.2	8	6	8	5	8	3.5	7	8	3	0	1.5	4	7	0	9
Nui Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.488299, 99.079285	4.3	8	6	7	7	2.1	4	8	8	3	0	2	2	5	1	1
Klong Jark Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.486220, 99.083319	4.2	8	6	6	6	4	4	8	8	3	0	1	1	5	0	3
Bamboo Bay Beach	Asia	Thailand	Krabi	Ko Lanta District	Ko Lanta Yai	NULL	Andaman Sea	7.497089, 99.073492	5.2	8	7	7.5	7.5	4	4	9	8	3	0	1.5	3	8	0	7
Southeast Beach	Asia	Thailand	Trang	Trang Islands	Ko Kradan	NULL	Andaman Sea	7.30594157304888, 99.25826561346184	7	9	5	6	6	6.5	6	8	8	7	7	7	5	8.5	7.5	8.5
Northeast Beach	Asia	Thailand	Trang	Trang Islands	Ko Kradan	NULL	Andaman Sea	7.3147102730405065, 99.25534737005364	5.9	8	6	4	5	7	5	8	9	5	4	4	5	9	0	9
Sunset Beach	Asia	Thailand	Trang	Trang Islands	Ko Kradan	NULL	Andaman Sea	7.309857712406182, 99.25234329595696	4.6	8	5	6	8.5	0	7	8	8	7	2.5	4	4	0	1	0
Ao Phante Melaka	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Tarutao Island	NULL	Andaman Sea	6.698176, 99.644724	6.1	8	6	5	8	7	3	9	10	3	2	2	3	9	9	8
Ao Jak	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Tarutao Island	NULL	Andaman Sea	6.683193, 99.641517	3.7	8	2	4	9.8	0	2	6	10	2	0	0	1	9	1	0
Ao Mo Lae	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Tarutao Island	NULL	Andaman Sea	6.672968, 99.638506	5.6	8	6	6	9	6	3	9	9	3	1	1	2.5	8	8	5
Ao Son North	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Tarutao Island	NULL	Andaman Sea	6.645262, 99.619305	3.4	2.5	6	4	9.7	5	2	8	2.5	2	0	0	2.5	2	3	2
NP Camping Beach	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Adang	NULL	Andaman Sea	6.511398, 99.316144	7.2	9	8	5	6	7	7	8.5	9	7	7.1	7.1	6	5	9	8
North of NP Camp Beach	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Adang	NULL	Andaman Sea	6.519528, 99.320868	6	9	7	7	9.5	0	7	9	9	6	6.5	6.6	6	6	1	0
North West Beach	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Adang	NULL	Andaman Sea	6.550342, 99.275449	6.3	9	9	7	8.5	0	7	9	9	7	7	7	7	7.5	1	0
West Beach	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Adang	NULL	Andaman Sea	6.542276, 99.279585	6.4	9	9	7.5	8.5	0	7	9	9	7	7	7	7	8	1	0
Haad Sai Khao	Asia	Thailand	Satun	Ko Tarutao Archipelago	Ko Rawi	NULL	Andaman Sea	6.558404, 99.258574	5	8	6	7	4	2	6	7	9	6	6	6	3	5	0	0
Cenang Beach	Asia	Malaysia	West Coast Islands	Langkawi Archipelago	Langkawi Island	NULL	Andaman Sea	6.290655, 99.726001	4.5	8	7	5	1	9	1	4	9	1	0	0	6	8	0	9
Thengah Beach	Asia	Malaysia	West Coast Islands	Langkawi Archipelago	Langkawi Island	NULL	Andaman Sea	6.279296538486679, 99.73007690277882	4.5	8	7	5	3	8	1	4	9	1	0	0	6	6	0	9
Harmony Camping  Beach	Asia	Malaysia	East Coast Islands	Pulau Kapas	NULL	NULL	South China Sea	5.2228448338588755, 103.26175224676263	7.1	9.1	7.3	7.9	6.6	2.6	7.1	6.3	8.6	7.3	7.4	7.2	7.6	9.1	5.8	7.4
Main Beach	Asia	Malaysia	East Coast Islands	Pulau Kapas	NULL	NULL	South China Sea	5.216348750740716, 103.26218140020501	6.1	8	7.5	6	6	7	5	7	9	3	2.5	2.5	5	8	7	8
Main Beach -Hotel Azalia	Europe	Bulgaria	Varna	St. Konstantin and Helena	NULL	NULL	Black Sea	43.23838749673276, 28.016390918637626	4	7.2	6.7	3.2	1.1	8.8	2.3	6.1	6.9	0.9	0	0.3	0.9	7.1	0	8.6
Sirius Hotel Beach	Europe	Bulgaria	Varna	St. Konstantin and Helena	NULL	NULL	Black Sea	43.23382274526997, 28.015103458310477	3.8	6.3	6.5	3.4	1.1	8.8	1.9	6.6	6.1	0.8	0	0.3	0.8	5.4	0	9
Hotel Admiral Beach	Europe	Bulgaria	Varna	Golden Sands	NULL	NULL	Black Sea	43.285696, 28.045393	4.6	9	8.5	3	1	9.5	2.5	7.5	10	1	0	0	1	7	0	9
Riviera Beach	Europe	Bulgaria	Varna	Golden Sands	NULL	NULL	Black Sea	43.274784, 28.042108	4.7	9	9	4	2.5	9	2.5	7.5	9	1	0	0	1	7.5	0	8
Ras Katy Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.849018129859004, 34.301600574399345	5.8	2.6	4.8	7.1	6.6	8.2	9	8.8	2.3	7.9	8.2	8.4	0.8	3.4	0	9
Wild Beach-Hadaba	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.854633838473955, 34.29816734686028	4.9	1.3	1.3	5	3.4	7.9	9.1	7.7	1.8	8.4	8.1	8.4	0	2.3	0	9.1
Ras Um Sid Bay Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.849094019751757, 34.30812370672356	6.2	7.1	7.6	8.2	2.8	8.4	9.4	7.8	5	7.8	8.8	8.7	0	2.5	0	9
Maya Bay Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.86222217063928, 34.29421913519036	4.5	5	6.2	5	2.8	9.3	6	4	7.8	2.4	0.8	1.8	0.8	6	0	9
El Fanar Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.847592, 34.314720	5.8	2.5	9	7.5	7.5	7.5	9.2	9.5	0	8.5	8	8.2	0	0	0	9
Palma Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.852008, 34.316550	5.4	3	7.8	4	5	8	9.5	9.2	1.5	8.7	8	8	0	0.5	0	8.5
Naama Bay Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.91214015245387, 34.328808902646415	5.6	7	8	3	2.5	10	8	8	7	4	4	4	1	7.5	0	10
Moevenpick Pesort Beaches	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.912915, 34.338208	6.2	3.5	10	5.5	5	10	9	9	3.5	7	7	7.5	0	7	0	8.5
Montazah Public Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.964371, 34.412243	5.8	6.4	6.6	3.4	8.2	6.3	9.8	9.4	1.9	7.5	8.6	8.9	0	2.6	0	7.4
Milf Reef Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.911152, 34.347578	4.3	5	5	5	10	0	9	9	2	6	5.5	5.5	0	2	0	0
Kavalikefta Beach	Europe	Greece	Ionian Islands	Lefkada	NULL	NULL	Ionian Sea	38.752385, 20.588452	5.1	8	8	8	6	2	7	8	7	2.5	0	1	9	6	2	2
Comillo Beach	Europe	Greece	Ionian Islands	Lefkada	NULL	NULL	Ionian Sea	38.721213, 20.578216	5.6	8	7.5	7	10	0	6.5	9.5	7.5	3	0	2	7.5	8	6.5	1.5
Gialos Beach	Europe	Greece	Ionian Islands	Lefkada	NULL	NULL	Ionian Sea	38.652456, 20.559282	6	8	8	9	8	1	7	9	8	2.5	0	1	9	9	8	2
Egremni Beach	Europe	Greece	Ionian Islands	Lefkada	NULL	NULL	Ionian Sea	38.637407, 20.558271	5.7	8	8	8	8.5	1	7	9	7.5	2	0	1.5	8.5	8.5	7	1
Porto Katsiki Beach	Europe	Greece	Ionian Islands	Lefkada	NULL	NULL	Ionian Sea	38.601636, 20.550077	5.2	8.5	9	9.5	5	2	7.5	9.5	9.5	2	0	1.5	9	5	0	0
Megali Petra Beach	Europe	Greece	Ionian Islands	Lefkada	NULL	NULL	Ionian Sea	38.750203, 20.587628	4.9	8	8.5	8	6	2	7	8	7.5	2	0	1	7	6	2	1
Kathisma Beach	Europe	Greece	Ionian Islands	Lefkada	NULL	NULL	Ionian Sea	38.777655, 20.600338	3.9	6	6.5	5	5	3.5	6	7	5	2	0	0	5	4	1	3
Achlada Beach North	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.109792, 23.990862	4.9	5	4	7	9.5	0	7	7	5	3	0	2.5	10	3.5	8	2
Agios Georgios Beach-South	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.017448, 23.846424	4.6	7	5	4	8	1	7	7	8	2.5	0	1	9	1	7	2
Lemos Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	39.93850094028647, 23.931450961972587	5.5	7	5.5	9.5	9.8	0	7	9	8	3.5	0	2.5	9	7	3	1
Paradise Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	39.999551, 23.869450	5.6	9	7.5	7.5	5	0	7	9	9	3	0	1	8	5	8.5	4
Azapiko Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.013229, 23.860946	4.7	7.5	7	5	6	0	7	9	8	2.5	0	1	8	5	2.5	2
Aretes Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.003126, 23.869359	5.1	7	6	5	5	5	6.5	8.5	6.5	5	0	1	7	5	4	5
Lagomandra Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.13347846791421, 23.750434034736827	5.8	7.5	8	6	6.5	7	7	8.5	9	3.5	0	2.5	7.5	7	0	7
Paradisos Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.09993765400334, 23.775153273018077	5.1	6.5	7	3	2.5	8.5	5	8.5	9	1	0	0	6	5	5	9
Neos Marmaras Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.087422, 23.792170	4.9	8	8	3	2	9	6	8.5	9.5	1	0	0	4	5	0	9
Karidi Beach	Europe	Greece	Central Macedonia	Chalkidiki	Sithonia	NULL	Aegean Sea 	40.193114, 23.808332	5.8	7	7.5	9.5	3	8	7	8.5	6.5	2.5	0	1	9	7.5	1	9
Albena Beach	Europe	Bulgaria	Dobrich	Balchik	NULL	NULL	Black Sea	43.36724723345045, 28.084188848733902	4.6	8.7	8.2	3.3	2	8.6	2	8	9.6	1.1	0	0	1.2	8.8	0	8.4
Kranevo Beach	Europe	Bulgaria	Dobrich	Balchik	NULL	NULL	Black Sea	43.34091036187399, 28.069683462381363	4.1	8	7	3	1	8.5	2	7.5	9.5	1	0	0	1	4	0	9.5
Central Beach	Europe	Bulgaria	Dobrich	Balchik	NULL	NULL	Black Sea	43.40330146086375, 28.17010536789894	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Bolata Beach	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.382781872108765, 28.470521091367118	3.3	3.8	3.9	8.4	3	1	2.1	6	8.5	1.3	0	0.6	8.3	2.2	1	0.2
Rusalka Beach-North	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.419399, 28.520933	4.5	6	7	8.3	3.5	4.9	4.5	8.8	2.6	2.9	0.1	3.2	8.2	4.8	0	3.4
Rusalka Beach-South	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.41508616702854, 28.50897324111429	6	6.5	9	9	8.5	8	3	9.5	9	2	0	1	9	8	0	8
Galata Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.157938, 27.943925	3.8	6.8	6.1	5.6	4.6	0.3	2.6	7.1	6.9	1	0	1.2	4.1	2.9	0	8.1
Chernomorets Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.121037, 27.928706	4.4	7.5	5	6.5	4	3.5	2.5	6.5	9	1	0	0	4	7	1.5	7.6
Sunny Day Beach	Europe	Bulgaria	Varna	St. Konstantin and Helena	NULL	NULL	Black Sea	43.240494, 28.017302	4.6	7.8	8.1	3	3.9	9.2	2.7	7	9.8	0.8	0	0.1	1.6	6.8	0	8.9
Fichoza Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.143644, 27.940187	3.6	7	3.5	3.5	1.5	5.5	2	7	8	1	0	0	4	3.5	1.5	6.5
Pasha Dere Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.106375, 27.923641	4.1	7.7	5.7	5.5	5	0.1	2.5	7.2	8	1	0	0.5	5.3	7.9	4.2	1.6
Papaz Kulak Beach	Europe	Bulgaria	Varna	Avren	NULL	NULL	Black Sea	43.050925, 27.898735	4.6	7.5	5	6	9.5	0	2	9	9	1.5	0	0	6	7	5	1.5
Kamchia Beach	Europe	Bulgaria	Varna	Avren	NULL	NULL	Black Sea	43.0326352071219, 27.888074039365165	4.3	7.3	3.9	5	3.7	6.3	1.1	6.4	9.4	1	0	0.3	3.8	5.5	4.7	5.5
Kamchia Sands Beach	Europe	Bulgaria	Varna	Dolni Chiflik	NULL	NULL	Black Sea	43.007910965132375, 27.88924241118366	4	8.5	5	5	9.8	0	1	7	10	1	0	0	3.5	8	1	0
Shkorpilovtsi Beach	Europe	Bulgaria	Varna	Dolni Chiflik	NULL	NULL	Black Sea	42.960895, 27.897511	4.2	8	4	3.5	5	5	1	7.5	9	1	0	0	2	7	4	6
Durankulak Beach-South	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	NULL	4.2	8	6	3.5	8.5	3	1	8	9	1	0	0	1	7	5	2.5
Krapets Beach	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.64439851245509, 28.57262635283405	4.1	8	7	4.5	7.5	0	1	9	9	1	0	0	2	7	3	2
Ezerets Beach	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.58928142764236, 28.57162964239251	4.1	8	5.5	4.5	8.5	0	1.5	8.5	9	1	0	0	3	7	3	2
Camping Dobrudja Beach	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.57000649753469, 28.58562004461419	5.2	8	7.5	4.5	5	7	1.5	8.5	9	1	0	0	2	8.5	7.5	8.5
Kabakum Beach	Europe	Bulgaria	Varna	Golden Sands	NULL	NULL	Black Sea	43.2547052496177, 28.030381320859306	3.5	7.1	4.3	2.9	0.8	8.1	1.8	5.5	8.5	0.5	0	0	1.2	2.7	0	8.4
Asparuhovo Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.177074, 27.912367	3.7	6.6	6.3	4.1	2.2	6.5	0.6	3.4	8.7	0.9	0	0	1.8	6.7	0	7
South Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.197918127289206, 27.921805499936454	4.2	8	7.5	1.5	0.5	9.5	1	7	8	0.5	0	0	0	10	0	10
Officers Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.209115, 27.938426	3.6	7.2	5.7	1.6	0.3	7.8	1.4	3.4	8.4	0.5	0	0	1.9	7.4	0	8.1
Rapongi Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.20936736532042, 27.94060242071282	4	8	8	3	1	8	1.5	6	7	1	0	0	1	7.5	0	7.5
Ras Gamila Beaches	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.972180, 34.425959	7	8	9.4	4.2	7	9	9.4	8.8	5.3	8	9.1	9	0.9	8.3	0	8.2
Ras Nasrani Beaches	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.964653, 34.417546	6.5	8	9	4.3	6.6	9	8.9	8.5	1.9	8	8.4	8.2	0	8.2	0	8.1
Montazah-Laguna Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.976362373007422, 34.42562591924798	3.8	5	1.5	3	8.5	1	6.5	6	5	4	4	4	1	5	0	2
Irakli Beach	Europe	Bulgaria	Bourgas	Nesebar	NULL	NULL	Black Sea	42.74776853197876, 27.88958573131822	4.6	7.6	6.3	5.3	5.6	5	1.7	8.1	7.5	0.9	0	0.3	2.7	8.2	5.3	4.2
Elenite Beach	Europe	Bulgaria	Bourgas	Nesebar	NULL	NULL	Black Sea	42.70293823536686, 27.81262886550394	4.8	8	8.5	5.5	3	9	2	8	7.5	1	0	0	2	8.5	0	9.5
Veleka Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.06796430690131, 27.970986484433524	5.7	8.5	7.5	8.9	4	8.5	1.5	7.5	8.5	1.5	0	0	9	8.8	1.5	9.3
Butamyata Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.05470989955781, 27.986521839047782	5.2	8	7.5	5	3.5	9	2.5	8.5	8	1.6	0	1	8.5	6	0	9
Lipite Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.04712560497182, 27.991104125976562	4.4	8	6	7	7.5	0	1.5	8.5	8	1.5	0	0	8.5	8	1	1
Listi Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.03380309645916, 28.00446045359422	4.5	7.5	5.5	7.5	8.5	0	2	8.5	7	1.5	0	0	8.5	8.5	2	1
Silistar Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.02245445317188, 28.00978195562493	5	8.5	8	8.5	5	2.5	3	8.5	8.5	2	0	1.5	9.5	9.2	0	0
Ahtopol Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.101534001006875, 27.92987358465325	5	7.5	7.5	4	1	9	2	7.5	5	1.5	0	0	8	5	8.5	9
Nestinarka Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.15767731234958, 27.86695968999993	4.6	8	8	4	3.5	8.5	2	7	6	1.5	0	0	7	5	0	9
Varvara Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.12776586721202, 27.90747177627054	4.5	5	6	6.5	6	1	3	8.5	3.5	2	0	2	9	7.5	1	7
Arapya Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.18852856245204, 27.83700477972161	4.5	7.5	4	6	0.5	6	1.5	4	7	1	0	1	8	5	7.5	8.5
Oazis Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.20073768278164, 27.818894504453056	5.4	8	8	4	5.5	9	2	8.5	7.5	1	0	0	7	6	7	7.5
Coral Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.216885708875864, 27.79005539312493	5.5	8	7	6.6	5	7.5	2.5	7.5	7.5	1	0	0	5	7.5	8	8.8
Lozenets Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.20061051702569, 27.81906616583001	4.4	8	7	3.5	1	9	2	7	8.5	1	0	0	5	5	0	9
Kiten - South Beach	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.230805296352735, 27.77646088390611	4.8	8.5	7	4	0.5	9	2.5	7.5	9.5	1	0	0	3	6	5	9
Atliman Beach	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.24110000474868, 27.769594428827986	4.3	7.7	5.1	5.1	1.3	7.7	2.5	6.7	8.6	1.1	0	0.2	2.6	6.9	0	8.7
Primorsko Beach-South	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.25406132083178, 27.75105500011705	5	8.8	7.5	4.5	4.5	8.4	2.5	8.5	9.6	1	0	0	2	8.7	0	9.5
Primorsko Beach-North	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.27807082901976, 27.75407838926185	4.9	8.4	7.1	4.8	3.8	8.3	3.4	7.7	8.9	0.9	0	0	2.5	8.2	0.5	8.5
Pasandigan Beach	Asia	Philippines	Luzon	Bacuit Archipelago	Cadlao Island	NULL	South China Sea	11.205423, 119.363944	6.8	9.3	8.3	8.5	9.3	0	9	9	9	5	5	5	10	8	5	1
Papaya Beach-El Nido	Asia	Philippines	Luzon	Palawan Islands	Palawan Isl. Coastline	NULL	South China Sea	11.172844466367344, 119.38152801885735	6.6	9.3	7	9	7	2	8	7	6	6	6.5	6.5	10	5	6	4
